Genome,Phylum,Paper,Loaded,Complete,Chrs,Plasmids,Genes
Aggregatibacter actinomycetemcomitans D11S-1,Proteobacteria,yes,24-05-10,yes,1,1,2251
Aggregatibacter aphrophilus NJ8700,Proteobacteria,yes,25-11-09,yes,1,0,2336
Agrobacterium radiobacter K84,Proteobacteria,,21-04-09,yes,2,3,6820
Agrobacterium tumefaciens str. C58 (Cereon),Proteobacteria,yes,25-11-09,yes,2,3,5464
Agrobacterium vitis S4,Proteobacteria,,21-04-09,yes,2,5,5559
Akkermansia muciniphila ATCC BAA-835,Verrucomicrobia,,25-11-09,yes,1,0,2240
Alcanivorax borkumensis SK2,Proteobacteria,,22-11-06,yes,1,0,2806
Algoriphagus sp. PR1,Bacteroidetes,,24-03-08,no,,,4257
Alicyclobacillus acidocaldarius LAA1,Firmicutes,,21-04-09,no,,,3094
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,Firmicutes,,25-11-09,yes,1,3,3235
"Alistipes finegoldii AHN 2437, DSM 17242",Bacteroidetes,,16-11-10,no,,,3344
Alistipes putredinis DSM 17216,Bacteroidetes,,24-03-08,no,,,2798
Alkalilimnicola ehrlichei MLHE-1,Proteobacteria,,22-11-06,yes,1,0,2940
Alkaliphilus metalliredigenes QYMF,Firmicutes,,25-11-09,yes,1,0,4941
Allochromatium vinosum DSM 180,Proteobacteria,,24-05-10,yes,1,2,3366
Alteromonadales bacterium TW-7,Proteobacteria,,08-05-07,no,,,3866
Alteromonas macleodii 'Deep ecotype',Proteobacteria,,25-11-09,yes,1,0,4146
Alteromonas macleodii ATCC 27126,Proteobacteria,yes,21-04-09,no,,,
Aminobacterium colombiense DSM 12261,Synergistetes,,24-05-10,yes,1,0,1972
"Aminomonas paucivorans GLU-3, DSM 12260",Synergistetes,,16-11-10,no,,,2494
Ammonifex degensii KC4,Firmicutes,,25-11-09,yes,1,1,2239
Anabaena variabilis ATCC 29413,Cyanobacteria,,24-05-10,yes,2,3,5813
Anaerocellum thermophilum DSM 6725,Firmicutes,,21-04-09,yes,1,2,2836
Anaerococcus hydrogenalis DSM 7454,Firmicutes,,21-04-09,no,,,2126
Anaerococcus lactolyticus ATCC 51172,Firmicutes,,21-04-09,no,,,
Anaerococcus prevotii DSM 20548,Firmicutes,,25-11-09,yes,1,1,1916
Anaerococcus tetradius ATCC 35098,Firmicutes,,21-04-09,no,,,
Anaerofustis stercorihominis DSM 17244,Firmicutes,,24-03-08,no,,,2382
Anaeromyxobacter dehalogenans 2CP-1,Proteobacteria,,25-11-09,yes,1,0,4573
Anaeromyxobacter dehalogenans 2CP-C,Proteobacteria,,17-04-06,yes,1,0,4419
Anaeromyxobacter sp. K,Proteobacteria,,25-11-09,yes,1,0,4557
Anaerostipes caccae DSM 14662,Firmicutes,,24-03-08,no,,,3838
Anaerotruncus colihominis DSM 17241,Firmicutes,,24-03-08,no,,,4500
Anaplasma centrale str. Israel,Proteobacteria,yes,24-05-10,yes,1,0,982
Anaplasma marginale str. Florida,Proteobacteria,yes,21-04-09,yes,1,0,995
Anaplasma marginale str. Mississippi,Proteobacteria,yes,21-04-09,no,,,
Anaplasma marginale str. Puerto Rico,Proteobacteria,yes,21-04-09,no,,,
Anaplasma marginale str. St. Maries,Proteobacteria,yes,25-08-05,yes,1,0,1004
Anaplasma marginale str. Virginia,Proteobacteria,yes,21-04-09,no,,,
Anaplasma phagocytophilum HZ,Proteobacteria,yes,17-04-06,yes,1,0,1393
Anoxybacillus flavithermus WK1,Firmicutes,yes,21-04-09,yes,1,0,2956
Aquifex aeolicus VF5,Aquificae,yes,,yes,1,1,1611
"Aquiflexum balticum BA160, DSM 16537",Bacteroidetes,,16-11-10,no,,,5039
Arcobacter butzleri RM4018,Proteobacteria,yes,24-03-08,yes,1,0,2333
Arthrobacter aurescens TC1,Actinobacteria,,08-05-07,yes,1,2,4780
Arthrobacter chlorophenolicus A6,Actinobacteria,,25-11-09,yes,1,2,4745
Arthrobacter sp. FB24,Actinobacteria,,22-11-06,yes,1,3,4622
Arthrospira maxima CS-328,Cyanobacteria,,21-04-09,no,,,5728
Aster yellows witches'-broom phytoplasma AYWB,Tenericutes,yes,17-04-06,yes,1,4,730
Atopobium parvulum DSM 20469,Actinobacteria,,25-11-09,yes,1,0,1422
Atopobium rimae ATCC 49626,Actinobacteria,,21-04-09,no,,,1600
Atopobium vaginae DSM 15829,Actinobacteria,,21-04-09,no,,,
Aurantimonas sp. SI85-9A1,Proteobacteria,yes,21-04-09,no,,,
Azoarcus sp. BH72,Proteobacteria,yes,08-05-07,yes,1,0,4058
Azoarcus sp. EbN1,Proteobacteria,yes,21-07-05,yes,1,2,4664
Azorhizobium caulinodans ORS 571,Proteobacteria,yes,24-03-08,yes,1,0,4781
Azospirillum sp. B510,Proteobacteria,yes,24-05-10,yes,1,6,6420
Azotobacter vinelandii,Proteobacteria,,02-11-04,no,,,4941
Azotobacter vinelandii AvOP,Proteobacteria,,25-11-09,yes,1,0,5224
Bacillus amyloliquefaciens FZB42,Firmicutes,yes,24-03-08,yes,1,0,3813
Bacillus anthracis str. 'Ames Ancestor',Firmicutes,,19-10-04,yes,1,2,5948
Bacillus anthracis str. A0174,Firmicutes,,21-04-09,no,,,5958
Bacillus anthracis str. A0193,Firmicutes,,24-03-08,no,,,6115
Bacillus anthracis str. A0248,Firmicutes,,25-11-09,yes,1,2,6042
Bacillus anthracis str. A0389,Firmicutes,,21-04-09,no,,,6175
Bacillus anthracis str. A0442,Firmicutes,,24-03-08,no,,,6138
Bacillus anthracis str. A0465,Firmicutes,,21-04-09,no,,,6172
Bacillus anthracis str. A0488,Firmicutes,,24-03-08,no,,,6122
Bacillus anthracis str. A2012,Firmicutes,,19-10-04,no,,,5879
Bacillus anthracis str. Ames,Firmicutes,yes,,yes,1,0,5640
Bacillus anthracis str. CDC 684,Firmicutes,,25-11-09,yes,1,2,6042
Bacillus anthracis str. Sterne,Firmicutes,,19-10-04,yes,1,0,5418
Bacillus anthracis Tsiankovskii-I,Firmicutes,,24-03-08,no,,,6176
Bacillus cereus 03BB102,Firmicutes,,25-11-09,yes,1,1,5775
Bacillus cereus 03BB108,Firmicutes,,24-03-08,no,,,6529
Bacillus cereus AH1134,Firmicutes,,24-03-08,no,,,6146
Bacillus cereus AH187,Firmicutes,,25-11-09,yes,1,4,5961
Bacillus cereus AH820,Firmicutes,,25-11-09,yes,1,3,5949
Bacillus cereus ATCC 10987,Firmicutes,yes,08-05-07,yes,1,1,6014
Bacillus cereus ATCC 14579,Firmicutes,yes,08-05-07,yes,1,1,5498
Bacillus cereus B4264,Firmicutes,,25-11-09,yes,1,0,5564
Bacillus cereus G9241,Firmicutes,,08-05-07,no,,,6147
Bacillus cereus G9842,Firmicutes,,25-11-09,yes,1,2,6001
Bacillus cereus H3081.97,Firmicutes,,25-11-09,no,,,6477
Bacillus cereus NVH0597-99,Firmicutes,,24-03-08,no,,,5936
Bacillus cereus Q1,Firmicutes,yes,21-04-09,yes,1,2,5622
Bacillus cereus subsp. cytotoxis NVH 391-98,Firmicutes,,24-03-08,yes,1,1,4176
Bacillus cereus W,Firmicutes,,24-03-08,no,,,5823
Bacillus cereus ZK,Firmicutes,,08-05-07,yes,1,5,5796
Bacillus clausii KSM-K16,Firmicutes,yes,25-08-05,yes,1,0,4204
Bacillus coagulans 36D1,Firmicutes,,08-05-07,no,,,2721
Bacillus coahuilensis m4-4,Firmicutes,yes,21-04-09,no,,,3868
Bacillus halodurans C-125,Firmicutes,yes,08-05-07,yes,1,0,4171
Bacillus licheniformis DSM 13,Firmicutes,,09-11-04,yes,1,0,4289
Bacillus megaterium DSM319,Firmicutes,,24-05-10,yes,1,0,5272
Bacillus megaterium QM B1551,Firmicutes,,24-05-10,yes,1,7,5805
Bacillus pseudofirmus OF4,Firmicutes,,24-05-10,yes,1,2,4434
Bacillus pumilus ATCC 7061,Firmicutes,,21-04-09,no,,,4161
Bacillus pumilus SAFR-032,Firmicutes,yes,24-03-08,yes,1,0,3825
Bacillus selenitireducens MLS10,Firmicutes,,24-03-08,no,,,3413
Bacillus sp. B14905,Firmicutes,,24-03-08,no,,,4750
Bacillus sp. NRRL B-14911,Firmicutes,,08-05-07,no,,,5797
Bacillus sp. SG-1,Firmicutes,,24-03-08,no,,,4426
Bacillus subtilis subsp. subtilis str. 168,Firmicutes,yes,24-05-10,yes,1,0,4421
Bacillus subtilis subsp. subtilis str. JH642,Firmicutes,yes,21-04-09,no,,,4381
Bacillus subtilis subsp. subtilis str. NCIB 3610,Firmicutes,yes,21-04-09,no,,,4539
Bacillus subtilis subsp. subtilis str. SMY,Firmicutes,yes,21-04-09,no,,,4399
Bacillus thuringiensis serovar israelensis ATCC 35646,Firmicutes,,08-05-07,no,,,6229
Bacillus thuringiensis serovar konkukian str. 97-27,Firmicutes,,08-05-07,yes,1,1,5343
Bacillus thuringiensis str. Al Hakam,Firmicutes,,08-05-07,yes,1,1,4945
Bacillus tusciae DSM 2912,Firmicutes,,24-05-10,yes,1,0,3402
Bacillus weihenstephanensis KBAB4,Firmicutes,,25-11-09,yes,1,4,5983
Bacteroides capillosus ATCC 29799,Bacteroidetes,,24-03-08,no,,,4902
Bacteroides cellulosilyticus DSM 14838,Bacteroidetes,,21-04-09,no,,,5773
Bacteroides coprocola DSM 17136,Bacteroidetes,,24-03-08,no,,,
Bacteroides coprophilus DSM 18228,Bacteroidetes,,21-04-09,no,,,3906
"Bacteroides coprosuis PC139, DSM 18011",Bacteroidetes,,16-11-10,no,,,2654
Bacteroides dorei DSM 17855,Bacteroidetes,,21-04-09,no,,,5038
Bacteroides eggerthii DSM 20697,Bacteroidetes,,21-04-09,no,,,3771
Bacteroides finegoldii DSM 17565,Bacteroidetes,,21-04-09,no,,,4506
Bacteroides fragilis 3_1_12,Bacteroidetes,,21-04-09,no,,,
Bacteroides fragilis NCTC 9343,Bacteroidetes,yes,25-08-05,yes,1,1,4395
Bacteroides fragilis YCH46,Bacteroidetes,yes,25-11-09,yes,1,1,4717
"Bacteroides helcogenes P 36-108, DSM 20613",Bacteroidetes,,16-11-10,no,,,3436
Bacteroides intestinalis DSM 17393,Bacteroidetes,,24-03-08,no,,,
Bacteroides ovatus ATCC 8483,Bacteroidetes,,24-03-08,no,,,5622
Bacteroides pectinophilus ATCC 43243,Bacteroidetes,,21-04-09,no,,,3296
Bacteroides plebeius DSM 17135,Bacteroidetes,,21-04-09,no,,,4024
"Bacteroides salanitronis BL78, DSM 18170",Bacteroidetes,,16-11-10,no,,,3945
Bacteroides sp. 2_1_7,Bacteroidetes,,21-04-09,no,,,
Bacteroides sp. 2_2_4,Bacteroidetes,,21-04-09,no,,,
Bacteroides sp. 4_3_47FAA,Bacteroidetes,,21-04-09,no,,,
Bacteroides sp. 9_1_42FAA,Bacteroidetes,,21-04-09,no,,,
Bacteroides sp. D1,Bacteroidetes,,21-04-09,no,,,
Bacteroides sp. D4,Bacteroidetes,,21-04-09,no,,,
Bacteroides stercoris ATCC 43183,Bacteroidetes,,24-03-08,no,,,3848
Bacteroides thetaiotaomicron VPI-5482,Bacteroidetes,yes,08-05-07,yes,1,1,4902
Bacteroides uniformis ATCC 8492,Bacteroidetes,,24-03-08,no,,,4727
Bacteroides vulgatus ATCC 8482,Bacteroidetes,yes,24-03-08,yes,1,0,4184
"Barnesiella viscericola C46, DSM 18177",Bacteroidetes,,16-11-10,no,,,2560
Bartonella bacilliformis KC583,Proteobacteria,,08-05-07,yes,1,0,1375
Bartonella grahamii as4aup,Proteobacteria,yes,25-11-09,yes,1,1,2053
Bartonella henselae str. Houston-1,Proteobacteria,yes,,yes,1,0,1665
Bartonella quintana str. Toulouse,Proteobacteria,yes,,yes,1,0,1356
Bartonella tribocorum CIP 105476,Proteobacteria,yes,24-03-08,yes,1,1,2171
Baumannia cicadellinicola str. Hc (Homalodisca coagulata),Proteobacteria,,22-11-06,yes,1,0,651
Bdellovibrio bacteriovorus HD100,Proteobacteria,yes,,yes,1,0,3629
Beggiatoa sp. PS,Proteobacteria,,24-03-08,no,,,6691
Beggiatoa sp. SS,Proteobacteria,,24-03-08,no,,,1442
Beijerinckia indica subsp. indica ATCC 9039,Proteobacteria,,21-04-09,yes,1,2,3982
"Belliella baltica BA134, DSM 15883",Bacteroidetes,,16-11-10,no,,,4002
Beutenbergia cavernae DSM 12333,Actinobacteria,,25-11-09,yes,1,0,4278
Bifidobacterium adolescentis ATCC 15703,Actinobacteria,,08-05-07,yes,1,0,1702
Bifidobacterium adolescentis L2-32,Actinobacteria,,24-03-08,no,,,2499
Bifidobacterium angulatum DSM 20098,Actinobacteria,,21-04-09,no,,,1903
Bifidobacterium animalis subsp. lactis AD011,Actinobacteria,yes,21-04-09,yes,1,0,1604
Bifidobacterium animalis subsp. lactis Bl-04,Actinobacteria,yes,25-11-09,yes,1,0,1631
Bifidobacterium animalis subsp. lactis DSM 10140,Actinobacteria,yes,25-11-09,yes,1,0,1629
Bifidobacterium animalis subsp. lactis HN019,Actinobacteria,,21-04-09,no,,,1632
Bifidobacterium bifidum NCIMB 41171,Actinobacteria,,21-04-09,no,,,1888
Bifidobacterium breve DSM 20213,Actinobacteria,,21-04-09,no,,,2309
Bifidobacterium catenulatum DSM 16992,Actinobacteria,,21-04-09,no,,,2011
Bifidobacterium dentium ATCC 27678,Actinobacteria,,24-03-08,no,,,
Bifidobacterium dentium Bd1,Actinobacteria,yes,24-05-10,yes,1,0,2197
Bifidobacterium gallicum DSM 20093,Actinobacteria,,21-04-09,no,,,2045
Bifidobacterium longum DJO10A,Actinobacteria,,25-11-09,yes,1,0,2062
Bifidobacterium longum NCC2705,Actinobacteria,yes,08-05-07,yes,1,1,1800
Bifidobacterium longum subsp. infantis ATCC 15697,Actinobacteria,yes,21-04-09,yes,1,0,2590
Bifidobacterium longum subsp. infantis CCUG 52486,Actinobacteria,,21-04-09,no,,,2178
Bifidobacterium pseudocatenulatum DSM 20438,Actinobacteria,,21-04-09,no,,,
Blastopirellula marina DSM 3645,Planctomycetes,,08-05-07,no,,,6079
Blattabacterium sp. (Blattella germanica) str. Bge,Bacteroidetes,,25-11-09,yes,1,0,627
Blattabacterium sp. (Periplaneta americana) str. BPLAN,Bacteroidetes,yes,24-05-10,yes,1,1,625
Blautia hansenii DSM 20583,Firmicutes,,21-04-09,no,,,3285
Blautia hydrogenotrophica DSM 10507,Firmicutes,,21-04-09,no,,,
Bordetella avium 197N,Proteobacteria,yes,21-04-09,yes,1,0,3510
Bordetella bronchiseptica RB50,Proteobacteria,yes,29-06-04,yes,1,0,5072
Bordetella parapertussis 12822,Proteobacteria,yes,29-06-04,yes,1,0,4467
Bordetella pertussis Tohama I,Proteobacteria,yes,29-06-04,yes,1,0,3856
Bordetella petrii DSM 12804,Proteobacteria,,24-03-08,yes,1,0,5091
Borrelia afzelii ACA-1,Spirochaetes,,25-11-09,no,,,2001
Borrelia afzelii PKo,Spirochaetes,,24-05-10,no,,,1301
Borrelia burgdorferi 118a,Spirochaetes,,25-11-09,no,,,2341
Borrelia burgdorferi 156a,Spirochaetes,,25-11-09,no,,,2244
Borrelia burgdorferi 29805,Spirochaetes,,25-11-09,no,,,2194
Borrelia burgdorferi 64b,Spirochaetes,,25-11-09,no,,,763
Borrelia burgdorferi 72a,Spirochaetes,,25-11-09,no,,,1926
Borrelia burgdorferi 80a,Spirochaetes,,24-03-08,no,,,2025
Borrelia burgdorferi 94a,Spirochaetes,,25-11-09,no,,,1967
Borrelia burgdorferi B31,Spirochaetes,yes,,yes,1,21,1706
Borrelia burgdorferi Bol26,Spirochaetes,,25-11-09,no,,,1804
Borrelia burgdorferi CA-11.2a,Spirochaetes,,25-11-09,no,,,521
Borrelia burgdorferi WI91-23,Spirochaetes,,25-11-09,no,,,708
Borrelia burgdorferi ZS7,Spirochaetes,,25-11-09,yes,1,14,1413
Borrelia duttonii Ly,Spirochaetes,yes,21-04-09,yes,1,16,1469
Borrelia garinii Far04,Spirochaetes,,21-04-09,no,,,1252
Borrelia garinii PBi,Spirochaetes,yes,24-05-10,no,,,1310
Borrelia garinii PBr,Spirochaetes,,25-11-09,no,,,524
Borrelia hermsii DAH,Spirochaetes,,21-04-09,yes,1,0,854
Borrelia recurrentis A1,Spirochaetes,,21-04-09,yes,1,7,1140
Borrelia sp. SV1,Spirochaetes,,25-11-09,no,,,1749
Borrelia spielmanii A14S,Spirochaetes,,25-11-09,no,,,328
Borrelia turicatae 91E135,Spirochaetes,,21-04-09,yes,1,0,853
Borrelia valaisiana VS116,Spirochaetes,,25-11-09,no,,,1870
Brachybacterium faecium DSM 4810,Actinobacteria,,25-11-09,yes,1,0,3191
Brachyspira hyodysenteriae WA1,Spirochaetes,yes,25-11-09,yes,1,1,2680
Bradyrhizobium japonicum USDA 110,Proteobacteria,yes,25-11-09,yes,1,0,8373
Bradyrhizobium sp. BTAi1,Proteobacteria,,25-11-09,yes,1,1,7810
Bradyrhizobium sp. ORS278,Proteobacteria,yes,24-03-08,yes,1,0,6818
Brevibacillus brevis NBRC 100599,Firmicutes,,25-11-09,yes,1,0,6121
Brevibacterium linens BL2,Actinobacteria,,08-05-07,no,,,3777
Brucella abortus biovar 1 str. 9-941,Proteobacteria,yes,25-08-05,yes,2,0,3356
Brucella abortus bv. 2 str. 86/8/59,Proteobacteria,,21-04-09,no,,,
Brucella abortus bv. 3 str. Tulya,Proteobacteria,,21-04-09,no,,,
Brucella abortus bv. 4 str. 292,Proteobacteria,,21-04-09,no,,,
Brucella abortus bv. 6 str. 870,Proteobacteria,,21-04-09,no,,,
Brucella abortus bv. 9 str. C68,Proteobacteria,,21-04-09,no,,,
Brucella abortus S19,Proteobacteria,yes,21-04-09,yes,2,0,3133
Brucella canis ATCC 23365,Proteobacteria,,24-03-08,yes,2,0,3419
Brucella ceti B1/94,Proteobacteria,,21-04-09,no,,,
Brucella ceti M13/05/1,Proteobacteria,,21-04-09,no,,,
Brucella ceti M490/95/1,Proteobacteria,,21-04-09,no,,,
Brucella ceti M644/93/1,Proteobacteria,,21-04-09,no,,,
Brucella melitensis 16M,Proteobacteria,yes,25-11-09,yes,2,0,3324
Brucella melitensis ATCC 23457,Proteobacteria,,25-11-09,yes,2,0,3347
Brucella melitensis biovar Abortus 2308,Proteobacteria,yes,18-01-06,yes,2,0,3418
Brucella melitensis bv. 1 str. Rev.1,Proteobacteria,,21-04-09,no,,,
Brucella melitensis bv. 2 str. 63/9,Proteobacteria,,21-04-09,no,,,
Brucella melitensis bv. 3 str. Ether,Proteobacteria,,21-04-09,no,,,
Brucella microti CCM 4915,Proteobacteria,yes,25-11-09,yes,2,0,3410
Brucella neotomae 5K33,Proteobacteria,,21-04-09,no,,,
Brucella ovis ATCC 25840,Proteobacteria,,24-03-08,yes,2,0,3198
Brucella pinnipedialis B2/94,Proteobacteria,,21-04-09,no,,,
Brucella pinnipedialis M163/99/10,Proteobacteria,,21-04-09,no,,,
Brucella pinnipedialis M292/94/1,Proteobacteria,,21-04-09,no,,,
Brucella sp. 83/13,Proteobacteria,,21-04-09,no,,,
Brucella suis 1330,Proteobacteria,yes,08-05-07,yes,2,0,3446
Brucella suis ATCC 23445,Proteobacteria,,24-03-08,yes,2,0,3427
Brucella suis bv. 3 str. 686,Proteobacteria,,21-04-09,no,,,
Brucella suis bv. 5 str. 513,Proteobacteria,,21-04-09,no,,,
Bryantella formatexigens DSM 14469,Firmicutes,,21-04-09,no,,,4919
Buchnera aphidicola str. 5A (Acyrthosiphon pisum),Proteobacteria,,21-04-09,yes,1,0,599
Buchnera aphidicola str. APS (Acyrthosiphon pisum),Proteobacteria,yes,,yes,1,2,618
Buchnera aphidicola str. Bp (Baizongia pistaciae),Proteobacteria,yes,08-05-07,yes,1,1,553
Buchnera aphidicola str. Cc (Cinara cedri),Proteobacteria,,22-11-06,yes,1,0,397
Buchnera aphidicola str. LSR1 (Acyrthosiphon pisum),Proteobacteria,,21-04-09,no,,,
Buchnera aphidicola str. Sg (Schizaphis graminum),Proteobacteria,yes,,yes,1,0,616
Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum),Proteobacteria,,21-04-09,yes,1,0,598
Burkholderia ambifaria IOP40-10,Proteobacteria,,21-04-09,no,,,6978
Burkholderia ambifaria MC40-6,Proteobacteria,,25-11-09,yes,3,1,6886
Burkholderia ambifaria MEX-5,Proteobacteria,,21-04-09,no,,,7134
Burkholderia cenocepacia AU 1054,Proteobacteria,,22-11-06,yes,3,0,6632
Burkholderia cenocepacia HI2424,Proteobacteria,,22-11-06,yes,3,1,7032
Burkholderia cenocepacia J2315,Proteobacteria,,21-04-09,yes,3,1,7384
Burkholderia cenocepacia MC0-3,Proteobacteria,,25-11-09,yes,3,0,7177
Burkholderia cenocepacia PC184,Proteobacteria,,08-05-07,no,,,5971
Burkholderia cepacia AMMD,Proteobacteria,,22-11-06,yes,3,1,6717
Burkholderia dolosa AUO158,Proteobacteria,,08-05-07,no,,,5441
Burkholderia glumae BGR1,Proteobacteria,yes,25-11-09,yes,2,4,6304
Burkholderia graminis C4D1M,Proteobacteria,,21-04-09,no,,,6788
Burkholderia mallei 2002721280,Proteobacteria,,08-05-07,no,,,4736
Burkholderia mallei ATCC 23344,Proteobacteria,yes,08-05-07,yes,2,0,5508
Burkholderia mallei FMH,Proteobacteria,,08-05-07,no,,,4846
Burkholderia mallei GB8 horse 4,Proteobacteria,,08-05-07,no,,,4822
Burkholderia mallei JHU,Proteobacteria,,08-05-07,no,,,4774
Burkholderia mallei NCTC 10229,Proteobacteria,,08-05-07,yes,2,0,5624
Burkholderia mallei NCTC 10247,Proteobacteria,,08-05-07,yes,2,0,5971
Burkholderia mallei PRL-20,Proteobacteria,,24-03-08,no,,,6399
Burkholderia mallei SAVP1,Proteobacteria,,08-05-07,yes,2,0,5295
Burkholderia multivorans ATCC 17616,Proteobacteria,,25-11-09,yes,3,2,6446
Burkholderia multivorans CGD1,Proteobacteria,,21-04-09,no,,,6651
Burkholderia multivorans CGD2,Proteobacteria,,21-04-09,no,,,6739
Burkholderia multivorans CGD2M,Proteobacteria,,21-04-09,no,,,6735
Burkholderia oklahomensis C6786,Proteobacteria,,24-03-08,no,,,7035
Burkholderia oklahomensis EO147,Proteobacteria,,24-03-08,no,,,7289
Burkholderia phymatum STM815,Proteobacteria,,25-11-09,yes,2,2,7899
Burkholderia phytofirmans PsJN,Proteobacteria,,25-11-09,yes,2,1,7489
Burkholderia pseudomallei 1106a,Proteobacteria,,08-05-07,yes,2,0,7256
Burkholderia pseudomallei 1106b,Proteobacteria,,08-05-07,no,,,
Burkholderia pseudomallei 112,Proteobacteria,,24-03-08,no,,,8111
Burkholderia pseudomallei 14,Proteobacteria,,24-03-08,no,,,8314
Burkholderia pseudomallei 1655,Proteobacteria,,08-05-07,no,,,5407
Burkholderia pseudomallei 1710a,Proteobacteria,,08-05-07,no,,,
Burkholderia pseudomallei 1710b,Proteobacteria,,18-01-06,yes,2,0,6420
Burkholderia pseudomallei 305,Proteobacteria,,24-03-08,no,,,8020
Burkholderia pseudomallei 406e,Proteobacteria,,08-05-07,no,,,5591
Burkholderia pseudomallei 576,Proteobacteria,,21-04-09,no,,,7459
Burkholderia pseudomallei 668,Proteobacteria,,08-05-07,yes,2,0,7307
Burkholderia pseudomallei 7894,Proteobacteria,,24-03-08,no,,,8370
Burkholderia pseudomallei 9,Proteobacteria,,24-03-08,no,,,8281
Burkholderia pseudomallei 91,Proteobacteria,,24-03-08,no,,,8390
Burkholderia pseudomallei B7210,Proteobacteria,,24-03-08,no,,,8177
Burkholderia pseudomallei BCC215,Proteobacteria,,24-03-08,no,,,7995
Burkholderia pseudomallei DM98,Proteobacteria,,24-03-08,no,,,8641
Burkholderia pseudomallei K96243,Proteobacteria,yes,09-11-04,yes,2,0,5935
Burkholderia pseudomallei MSHR346,Proteobacteria,,25-11-09,yes,1,0,4267
Burkholderia pseudomallei NCTC 13177,Proteobacteria,,24-03-08,no,,,8161
Burkholderia pseudomallei Pasteur,Proteobacteria,,08-05-07,no,,,5589
Burkholderia pseudomallei S13,Proteobacteria,,08-05-07,no,,,5702
Burkholderia sp. 383,Proteobacteria,,18-01-06,yes,3,0,7822
Burkholderia sp. CCGE1002,Proteobacteria,,24-05-10,yes,3,1,7359
Burkholderia sp. H160,Proteobacteria,,21-04-09,no,,,7513
Burkholderia thailandensis Bt4,Proteobacteria,,24-03-08,no,,,6824
Burkholderia thailandensis E264,Proteobacteria,yes,18-01-06,yes,2,0,5714
